Symbol,Change_2d,Change_5d,Change_10d,Change_30d,Change_60d,Change_180d,MTD Change,YTD Change
QSR,0.012351071,,-0.040582297,-0.024114091,-0.104837536,-0.0000291,0.042298883,0.043418254
QTWO,-0.033450619,,0.183234115,0.276408514,0.204631654,0.013001175,-0.154858716,-0.266368652
R,0.005789838,,0.12029156,0.067658871,0.04800163,-0.067633303,-0.107375227,-0.059490017
RACE,-0.009450455,,0.052849875,0.044305921,-0.027104796,0.063093476,-0.050196971,0.038626315
RAMP,-0.044039478,,0.134396317,0.351936234,0.113515556,-0.0049355,-0.118473866,-0.132696759
RARE,-0.021654104,,0.119749442,0.168275415,0.097573642,0.532481056,-0.106943069,-0.088899403
RBA,0.010561602,,0.039707484,-0.050776886,-0.098405629,-0.13577742,-0.038191015,0.091564153
RBC,0.01262411,,0.052107461,0.06511236,-0.137810895,-0.157933314,-0.049526748,0.141305031
RBLX,-0.017899535,,0.162374418,0.18812791,0.129132415,-0.1621918,-0.139692009,-0.053750442
RCI,-0.001069475,,-0.010338646,-0.039928662,0.033868121,0.449197955,0.01044665,-0.087211206
RCKT,0.046285032,,0.151035294,0.231425044,0.356881887,1.393422598,-0.13121691,-0.346857579
RCL,0.000289605,,0.183779842,0.256172584,0.091665278,-0.195834116,-0.155248328,-0.098819234
RDDT,-0.125804628,,0.318178069,0.832722126,0.361362318,-0.518536637,-0.241377152,-0.249082223
RDN,0.028966837,,0.059221119,0.047060498,-0.022871241,0.113920711,-0.055910063,-0.012728756
RDNT,-0.023964262,,0.126523138,0.26624688,0.396831772,0.37672621,-0.112312951,-0.294959847
RDY,-0.0007868,,0.00550745,0.086546057,0.213217941,0.264673435,-0.005477285,-0.19506016
REG,0.003120382,,0.040564345,-0.001356647,-0.066205363,0.003682728,-0.038983025,-0.002975804
REGN,0.037136634,,-0.027041305,-0.039943711,-0.030876655,0.60391806,0.02779286,0.009479885
RELX,0.00254235,,0.024788096,0.071186452,-0.017584784,0.010805049,-0.024188509,0.039189843
RELY,-0.019531232,,0.171875026,0.254882878,0.098144545,-0.289550756,-0.146666686,-0.092600806
REXR,0.003032573,,0.044225424,0.019459198,-0.060652048,0.254222437,-0.042352372,0.023538537
REYN,0.01359703,,0.00865262,0.004139504,0.064959326,0.293347621,-0.008578394,-0.092308735
REZI,-0.009572076,,0.081644079,0.221283798,0.237612571,0.067567502,-0.075481464,-0.229501049
RF,0.02572658,,0.117675052,0.135116706,0.087034436,0.026154575,-0.105285567,-0.098057885
RGA,-0.006407844,,0.082340993,0.066144449,0.148544109,0.13183318,-0.076076758,-0.119469595
RGEN,-0.068918637,,0.082444024,0.04574183,0.052538541,-0.048528506,-0.0761647,0.022162029
RGLD,-0.010981886,,-0.044772236,-0.044317318,-0.124829468,-0.075297945,0.046870744,0.171076452
RH,0.012317284,,0.396842595,0.744459333,0.7953333,0.395975126,-0.284099723,-0.414187328
RHI,0.005909505,,0.091228042,0.086070628,0.197621883,0.146448373,-0.083601263,-0.223909035
RHP,0.028372471,,0.012905891,0.060739532,0.043941422,0.017922396,-0.012741452,-0.064308983
RIG,0.013605429,,0.003401357,0.272108822,0.370748344,0.404761916,-0.003389827,-0.215999985
RIO,0.005820544,,-0.055312187,-0.028949575,-0.082142862,-0.024269802,0.058550757,0.090049897
RIOT,-0.020725369,,0.202072537,0.50647674,0.554404187,-0.067357512,-0.168103447,-0.243878574
RITM,-0.00086724,,0.053772758,0.028620983,-0.071986118,-0.024630273,-0.051028799,0.064635255
RIVN,0.015755336,,0.097312344,0.203892476,0.283595962,0.251158484,-0.088682447,-0.188721819
RJF,-0.014889061,,0.107158207,0.162634228,0.103865498,-0.161927649,-0.096786716,-0.09772011
RKLB,-0.039820476,,0.149186756,0.716208666,0.509254064,-0.581604034,-0.129819418,-0.299960722
RKT,0.012898336,,0.062215453,-0.019726876,-0.220030387,0.488619149,-0.058571407,0.170515101
RL,-0.02150539,,0.214785028,0.203180965,0.063351253,-0.20580962,-0.176809084,-0.033682565
RLI,0.012493287,,0.02216542,0.01464528,0.000970175,-0.007738034,-0.021684768,-0.094974945
RLJ,0.034714385,,0.036954078,0.06830903,0.095184703,-0.00744998,-0.03563714,-0.12536726
RLX,-0.030701725,,0.092105281,0.074561438,-0.05701749,-0.276315791,-0.084337364,0.0555555
RMBS,0.008341422,,0.084190111,0.303006773,0.090785652,-0.207177507,-0.077652535,-0.02478247
RMD,0.048009265,,0.034235401,0.054190227,0.033244347,0.097641521,-0.033102136,-0.010464325
RNA,0.015551082,,0.035835006,0.159905391,-0.004056824,0.410074347,-0.034595284,0.017193948
RNAC,-0.008305627,,0.043189408,0.024916987,-0.067552566,-0.072535964,-0.04140131,0.008375188
RNG,0.00934929,,0.063949178,0.302169035,0.232236389,0.098728475,-0.060105481,-0.236218193
RNR,0.008520919,,-0.007476749,-0.022513677,0.044442585,0.078209435,0.007533072,-0.037779808
RNW,-0.04118616,,0.037891271,0.116968701,0.112026328,0.029654007,-0.036507938,-0.111273757
ROAD,-0.010238475,,0.061284111,0.193798442,0.274243078,-0.04797435,-0.057745245,-0.227108258
ROCK,-0.002886259,,-0.001822919,-0.086586672,-0.1462859,0.043749008,0.001826248,0.117657048
